feature,avg_importance
Price_numeric,0.5859473957845152
Price_numeric_log,0.25361444269113065
Price_encoded,0.06536005772694518
Price_per_SQFT,0.027479931665621075
Total_Area,0.02686061053284607
Property Title_encoded,0.013487935608217703
Baths,0.012938290390599063
Balcony_encoded,0.0029108617273030948
Name_encoded,0.00280792542356674
location_encoded,0.0023555542720760264
balcony_encoded,0.0009038626633933999
location_popularity,0.000433414299936416
Amenities_encoded,0.00037533884905298316
Date_x_encoded,0.0003562014442164518
furnishing_binary,0.00029301497565268107
environmental_score,0.00027609671627506637
City_encoded,0.00027388608431358773
Date_y_encoded,0.0002546312164768498
Security_encoded,0.0002400018674185764
Furnished_Status_encoded,0.00023435362803578275
AQI_Bucket_encoded_normalized,0.00019983017693870424
Availability_Status_encoded,0.00018340275535056879
location_popularity_log,0.00017776850178937863
Owner_Type_encoded,0.00017547896111612683
Public_Transport_Accessibility_encoded,0.00017019772604591054
Day,0.00016300275987352053
State_encoded,0.00012401003263589328
AQI_Bucket_encoded,0.00012248112588461338
DayExcess,8.393725632729247e-05
NO2_log,8.387564606489511e-05
size_category_encoded,8.131563052699389e-05
Toluene,7.682912133953532e-05
NH3_log,7.338888520496334e-05
CO,6.229934134429855e-05
Month_y,5.890568430941191e-05
NH3,5.862811182815206e-05
AQI,4.0645411440577085e-05
Floor_No,3.9335186139749815e-05
area_per_bedroom,3.9273606279596536e-05
O3,3.77813423468959e-05
Month_x,3.572301053147523e-05
Size_in_SqFt,3.553967961245802e-05
Facing_encoded,3.4926693901105985e-05
Year_Built,3.3615863831598865e-05
Age_of_Property,3.2997304803360194e-05
Parking_Space_encoded,3.270602680221446e-05
NO_log,3.1219940801940835e-05
Year_x,3.059447326039634e-05
AQI_normalized,2.962403386763295e-05
Property_Type_encoded,2.8286982806108486e-05
Total_Floors,2.7707090090257097e-05
BHK_Size_in_SqFt_interaction,1.9215823815922606e-05
SO2,1.8912501377643102e-05
NightExcess,1.3130937694744829e-05
Year_y,1.3078713545687394e-05
StationEncoded,1.1502649072843166e-05
AQI_log,1.0541483460030562e-05
PM2.5_log,9.936010779786698e-06
SO2_log,9.927713571692305e-06
Night,9.54611054013173e-06
PM10_log,9.468107881930152e-06
parking_binary,8.253384426046824e-06
DayLimit,8.041934915571568e-06
Nearby_Hospitals,7.609201742930694e-06
NO2,7.534341030746373e-06
O3_sqrt,6.9302846250079706e-06
NightLimit,6.703540997626519e-06
NO,4.97421547478447e-06
Benzene,4.4086170798126e-06
Price_per_SqFt,4.175739509043131e-06
PM10,3.3655043469381814e-06
PM2.5,2.7557459744750223e-06
NOx,8.368661792527396e-07
Price_in_Lakhs,5.4186764504865385e-11
Nearby_Schools,1.219579451072782e-18
BHK,0.0
Xylene,0.0
feature_importance,0.0
bath_bedroom_ratio,0.0
Baths_BHK_interaction,0.0
