BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Furnished_Status_encoded,Public_Transport_Accessibility_encoded,Parking_Space_encoded,Security_encoded,Availability_Status_encoded,Total_Area,Price_per_SQFT,Baths,balcony_encoded,Price_numeric,feature_importance,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Month_x,Year_x,AQI_Bucket_encoded,Year_y,Month_y,Day,Night,DayLimit,NightLimit,StationEncoded,DayExcess,NightExcess,target_price,State_encoded,City_encoded,location_encoded,Property_Type_encoded,Amenities_encoded,Facing_encoded,Owner_Type_encoded,Name_encoded,Property Title_encoded,Price_encoded,Balcony_encoded,Date_x_encoded,Date_y_encoded,furnishing_binary,parking_binary,location_popularity,AQI_normalized,AQI_Bucket_encoded_normalized,environmental_score,size_category_encoded,BHK_Size_in_SqFt_interaction,Baths_BHK_interaction,area_per_bedroom,bath_bedroom_ratio,Price_numeric_log,PM2.5_log,PM10_log,NO_log,NO2_log,NH3_log,SO2_log,AQI_log,location_popularity_log,O3_sqrt
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.5763385884633325,-0.1582452163169417,-0.8363712854187215,1.0,2300000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,2300000.0,1,1,0,2,324,3,3,0,17,269,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,14.648420115681892,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.0786070528163795,-0.086050973614729,0.2769512392801228,1.0,9000000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,9000000.0,1,1,1,2,324,3,3,1,4701,856,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,16.012735246411598,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.8412602122754205,-0.0921691297759335,-1.9496938101175656,0.0,1800000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,1800000.0,1,1,2,2,324,3,3,2,986,166,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,14.403297778421795,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.1588863327594365,-0.1184772012691127,0.2769512392801228,1.0,6500000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,6500000.0,1,1,3,2,324,3,3,4,1655,718,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.687312888712007,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.2070539007252707,-0.1509034289234963,0.2769512392801228,0.0,4490000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,4490000.0,1,1,4,2,324,3,3,6,2534,537,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.317363482435562,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.6084503004405554,0.006537122958165,-0.8363712854187215,1.0,6500000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,6500000.0,1,1,5,2,324,3,3,7,119,718,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.687312888712007,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.2640521894848411,-0.1021621181725674,0.2769512392801228,0.0,6500000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,6500000.0,1,1,6,2,324,3,3,11,2554,718,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.687312888712007,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.1588863327594365,0.0391672891512554,0.2769512392801228,0.0,15000000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,15000000.0,1,1,7,2,324,3,3,17,1530,56,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,16.52356082573315,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.4719755245373586,-0.0809525101470586,-0.8363712854187215,1.0,5500000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,5500000.0,1,1,8,2,324,3,3,27,191,635,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.520258832020865,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.8894277802412546,0.2977613562314972,-1.9496938101175656,0.0,5000000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,5000000.0,1,1,9,2,324,3,3,30,1092,597,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.424948670398354,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.4559196685487471,0.2359679790033322,-0.8363712854187215,1.0,17000000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,17000000.0,1,1,10,2,324,3,3,39,1555,77,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,16.648723960844016,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.2391656127024934,-0.0656571197440475,0.2769512392801228,0.0,8500000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,8500000.0,1,1,11,2,324,3,3,42,1674,823,0,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.955576839107596,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
3.0,2747.0,258.36,0.09,2007.0,15.0,16.0,18.0,6.0,6.0,3,3,1,1,2,-0.6566178684063895,0.0583375117896961,-0.8363712854187215,1.0,7000000.0,0.570577463793437,30.26,76.68,7.52,26.91,19.1,21.02,0.92,5.02,31.55,0.87,1.76,,86.0,6.0,2017.0,4,2016.0,7.0,0.1992697522783708,-0.0694164367552499,0.3930548923616099,0.2308194076748567,3.0,0.077633488859798,0.1156702843729479,7000000.0,1,1,12,2,324,3,3,46,83,752,2,2009,95,0,0,17242,0.19879518072289157,0.8,0.8,4,7002.0,,683.3333333333334,,15.76142084987672,3.4423393249933305,4.35259782398307,2.1424163408412245,3.328985047548231,3.091951131294534,1.7950872593207297,4.465908118654584,9.755161543000131,5.616938667993447
